imdbId,Actors,Directors,Rating,Genre,Release
62376,"['Sidney Poitier', 'Judy Geeson', 'Christian Roberts']",['James Clavell'],7.7/10,['Drama'],"14 June 1967 (USA)

"
181984,"['Giovanni Ribisi', 'Vin Diesel', 'Nia Long']",['Ben Younger'],7/10,"['Crime', 'Drama', 'Thriller']","18 February 2000 (USA)

"
162983,"['Diane Keaton', 'Meg Ryan', 'Lisa Kudrow']",['Diane Keaton'],4.8/10,"['Comedy', 'Drama']","18 February 2000 (USA)

"
134847,"['Radha Mitchell', 'Cole Hauser', 'Vin Diesel']",['David Twohy'],7.1/10,"['Horror', 'Sci-Fi']","18 February 2000 (USA)

"
190138,"['Bruce Willis', 'Matthew Perry', 'Rosanna Arquette']",['Jonathan Lynn'],6.7/10,"['Comedy', 'Crime']","18 February 2000 (USA)

"
159272,"['Thomas Goodridge', 'Faruk Pruti', 'Tony Peters']",['Jasmin Dizdar'],6.7/10,"['Comedy', 'Drama', 'War']","17 September 1999 (UK)

"
221023,['Malice McMunn'],['Steven Okazaki'],8/10,"['Documentary', 'Biography']","17 March 2000 (USA)

"
77248,"['Richard Pryor', 'Harvey Keitel', 'Yaphet Kotto']",['Paul Schrader'],7.6/10,"['Crime', 'Drama']","10 February 1978 (USA)

"
18773,"['Charles Chaplin', 'Merna Kennedy', 'Al Ernest Garcia']",['Charles Chaplin'],8.1/10,"['Comedy', 'Romance']","1928 (Turkey)

"
21749,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee']",['Charles Chaplin'],8.6/10,"['Comedy', 'Drama', 'Romance']","7 March 1931 (USA)

"
87265,"['Matt Dillon', 'Hector Elizondo', 'Molly McCarthy']",['Garry Marshall'],6.2/10,"['Comedy', 'Drama', 'Romance']","21 December 1984 (USA)

"
9018,"['Charles Chaplin', 'Edna Purviance', 'Dave Anderson']",['Charles Chaplin'],7.8/10,"['Short', 'Comedy', 'Drama']","14 April 1918 (USA)

"
12349,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan']",['Charles Chaplin'],8.3/10,"['Comedy', 'Drama', 'Family']","6 February 1921 (USA)

"
84395,"['Gerrit Graham', 'Michael Lerner', 'Fred McCarren']",['Michael Miller'],4.6/10,"['Comedy', 'Horror']","29 October 1982 (USA)

"
44420,"['Kirk Douglas', 'Eve Miller', 'Patrice Wymore']",['Felix E. Feist'],5.8/10,"['Action', 'Romance', 'Western']","30 March 1952 (UK)

"
184858,"['Ben Affleck', 'Gary Sinise', 'Charlize Theron']",['John Frankenheimer'],5.7/10,"['Action', 'Adventure', 'Crime']","25 February 2000 (USA)

"
185014,"['Michael Douglas', 'Tobey Maguire', 'Frances McDormand']",['Curtis Hanson'],7.4/10,"['Comedy', 'Drama']","25 February 2000 (USA)

"
158583,"['Kevin Pollak', 'Timothy Hutton', 'Sheryl Lee Ralph']",['Rod Lurie'],6.5/10,"['Drama', 'Thriller']","10 March 2000 (USA)

"
164756,"['Iben Hjejle', 'Anders W. Berthelsen', 'Jesper Asholt']",['Søren Kragh-Jacobsen'],7.2/10,"['Romance', 'Comedy', 'Drama']","12 March 1999 (Denmark)

"
186045,"['Danny DeVito', 'Bette Midler', 'Neve Campbell']",['Nick Gomez'],5.6/10,"['Crime', 'Mystery', 'Comedy']","3 March 2000 (USA)

"
156841,"['Madonna', 'Rupert Everett', 'Benjamin Bratt']",['John Schlesinger'],4.7/10,"['Comedy', 'Drama', 'Romance']","3 March 2000 (USA)

"
181151,"['Garry Shandling', 'Annette Bening', 'John Goodman']",['Mike Nichols'],5.6/10,"['Comedy', 'Sci-Fi']","3 March 2000 (USA)

"
218043,"['Terry Funk', 'Mick Foley', 'Jake Roberts']",['Barry W. Blaustein'],7.6/10,"['Documentary', 'Biography', 'Sport']","17 March 2000 (USA)

"
165798,"['Forest Whitaker', 'Henry Silva', 'John Tormey']",['Jim Jarmusch'],7.5/10,"['Action', 'Crime', 'Drama']","24 March 2000 (USA)

"
94347,"['Noah Taylor', 'Loene Carmen', 'Ben Mendelsohn']",['John Duigan'],7.5/10,"['Drama', 'Romance']","17 October 1987 (USA)

"
55471,"['Natalie Wood', 'Warren Beatty', 'Pat Hingle']",['Elia Kazan'],7.8/10,"['Drama', 'Romance']","17 November 1961 (Japan)

"
85980,"['Matt Lattanzi', 'Caren Kaye', 'Kevin McCarthy']",['George Bowers'],5.2/10,['Comedy'],"22 April 1983 (USA)

"
40506,"['Humphrey Bogart', 'Edward G. Robinson', 'Lauren Bacall']",['John Huston'],7.9/10,"['Action', 'Crime', 'Drama']","31 July 1948 (USA)

"
